A	A 1177
a message	a message 12
a million	a million 20
a minute	a minute 28
a mixture	a mixture 12
a mixture _	a mixture of 12
a mixture of	a mixture of 12
a moment	a moment 69
a month	a month 19
a more	a more 59
a move	a move 11
a movement	a movement 11
a much	a much 24
a national	a national 27
a natural	a natural 20
a need	a need 12
a new	a new 189
a nice	a nice 13
a normal	a normal 20
a note	a note 18
a number	a number 95
a number _	a number of 88
a number of	a number of 88
a of	a of 22
a or	a or 24
a pair	a pair 21
a pair _	a pair of 18
a pair of	a pair of 18
a part	a part 25
a part _	a part of 17
a part of	a part of 17
a particular	a particular 80
a particularly	a particularly 12
a partner	a partner 14
a pattern	a pattern 11
a penalty	a penalty 11
a perfect	a perfect 12
a period	a period 42
a period _	a period of 18
a period of	a period of 18
a person	a person 37
a personal	a personal 25
a physical	a physical 11
a picture	a picture 35
a piece	a piece 42
a piece _	a piece of 35
a piece of	a piece of 35
a pilot	a pilot 16
a pint	a pint 16
a place	a place 49
a play	a play 11
a poem	a poem 14
a point	a point 24
a policy	a policy 17
a political	a political 13
a position	a position 20
a possibility	a possibility 11
a possible	a possible 11
a pound	a pound 23
a powerful	a powerful 23
a private	a private 16
a problem	a problem 47
a professional	a professional 11
a proper	a proper 22
a property	a property 11
a pub	a pub 17
a quarter	a quarter 14
a question	a question 20
a quick	a quick 19
a quiet	a quiet 11
a range	a range 25
a range _	a range of 25
a range of	a range of 25
a rather	a rather 23
a reader	a reader 25
a real	a real 29
a really	a really 13
a reasonable	a reasonable 11
a recent	a recent 15
a red	a red 13
a regular	a regular 20
a report	a report 11
a result	a result 46
a result _	a result of 27
a result of	a result of 27
a reverse	a reverse 22
a reverse _	a reverse punch 22
a reverse punch	a reverse punch 22
a room	a room 11
a roundhouse	a roundhouse 12
a rule	a rule 15
a rush	a rush 11
a safe	a safe 19
a scheme	a scheme 12
a sculpture	a sculpture 11
a second	a second 45
a selection	a selection 11
a selection _	a selection of 11
a selection of	a selection of 11
a sense	a sense 31
a sense _	a sense of 18
a sense of	a sense of 18
a sentence	a sentence 15
a separate	a separate 14
a series	a series 46
a series _	a series of 43
a series of	a series of 43
a serious	a serious 17
a service	a service 15
a set	a set 11
a short	a short 43
a show	a show 12
a sign	a sign 13
a significant	a significant 19
a similar	a similar 30
a simple	a simple 34
a single	a single 61
a situation	a situation 14
a slight	a slight 25
a slightly	a slightly 15
a small	a small 113
a snap	a snap 13
a soft	a soft 14
a sort	a sort 21
a sort _	a sort of 20
a sort of	a sort of 20
a source	a source 11
a special	a special 41
a spot	a spot 11
a stall	a stall 12
a start	a start 13
a state	a state 16
a statement	a statement 11
a step	a step 14
a story	a story 35
a straight	a straight 11
a strange	a strange 23
a strong	a strong 47
a student	a student 32
a study	a study 13
a style	a style 17
a substantial	a substantial 11
a sudden	a sudden 19
a suitable	a suitable 16
a survey	a survey 14
a swing	a swing 13
a system	a system 17
a table	a table 12
a tall	a tall 12
a teacher	a teacher 14
a team	a team 13
a tendency	a tendency 13
a text	a text 11
a the	a the 11
a theme	a theme 13
a theory	a theory 12
a thing	a thing 30
a third	a third 24
a thousand	a thousand 14
a time	a time 52
a to	a to 21
a total	a total 18
a training	a training 12
a tree	a tree 16
a true	a true 13
a unique	a unique 12
a university	a university 11
a variety	a variety 41
a variety _	a variety of 41
a variety of	a variety of 41
a very	a very 150
a visit	a visit 11
a vital	a vital 12
a warm	a warm 12
a way	a way 49
a way _	a way of 17	a way that 12
a way of	a way of 17
a way that	a way that 12
a week	a week 72
a while	a while 51
a white	a white 17
a whole	a whole 50
a wide	a wide 43
a wide _	a wide range 16
a wide _ _	a wide range of 16
a wide _ of	a wide range of 16
a wide range	a wide range 16
a wide range _	a wide range of 16
a wide range of	a wide range of 16
a woman	a woman 52
a wonderful	a wonderful 12
a word	a word 35
a work	a work 28
a work _	a work of 16
a work _ _	a work of art 14
a work _ art	a work of art 14
a work of	a work of 16
a work of _	a work of art 14
a work of art	a work of art 14
a world	a world 33
a writer	a writer 18
a year	a year 81
a young	a young 45
a young _	a young man 11
a young man	a young man 11
aacute	aacute 26
aacute _	aacute il 19
aacute il	aacute il 19
abandoned	abandoned 21
abilities	abilities 22
ability	ability 70
ability _	ability to 47
ability to	ability to 47
able	able 302
able _	able to 289
able _ _	able to get 22
able _ get	able to get 22
able to	able to 289
able to _	able to get 22
able to get	able to get 22
abortion	abortion 11
about	about 1570
about AIDS	about AIDS 11
about _	about the 302	about it 89	about a 42	about this 37	about my 30	about to 28	about what 28	about that 27	about his 24	about their 23	about you 23	about your 22	about how 21	about her 19	about art 14	about them 14	about these 14	about him 12	about in 12	about AIDS 11	about an 11	about our 11	about something 11	about which 11
about a	about a 42
about an	about an 11
about art	about art 14
about her	about her 19
about him	about him 12
about his	about his 24
about how	about how 21
about in	about in 12
about it	about it 89
about my	about my 30
about our	about our 11
about something	about something 11
about that	about that 27
about the	about the 302
about their	about their 23
about them	about them 14
about these	about these 14
about this	about this 37
about to	about to 28
about what	about what 28
about which	about which 11
about you	about you 23
about your	about your 22
above	above 202
above _	above the 44	above all 16
above all	above all 16
above the	above the 44
abroad	abroad 17
abruptly	abruptly 11
absence	absence 26
absence _	absence of 19
absence of	absence of 19
absent	absent 15
absolute	absolute 23
absolutely	absolutely 46
absorb	absorb 11
abstract	abstract 22
abuse	abuse 11
academic	academic 55
acceleration	acceleration 11
accent	accent 24
accept	accept 65
accept _	accept that 13
accept that	accept that 13
acceptable	acceptable 21
accepted	accepted 38
accepting	accepting 12
access	access 47
access _	access to 24
access to	access to 24
accessible	accessible 19
accident	accident 48
accidents	accidents 46
accommodation	accommodation 28
accompanied	accompanied 19
accompanied _	accompanied by 17
accompanied by	accompanied by 17
accompany	accompany 16
according	according 67
according _	according to 67
according _ _	according to the 23
according _ the	according to the 23
according to	according to 67
according to _	according to the 23
according to the	according to the 23
accordingly	accordingly 11
account	account 89
account _	account of 39	account for 11
account _ _	account of the 14
account _ the	account of the 14
account for	account for 11
account of	account of 39
account of _	account of the 14
account of the	account of the 14
accounts	accounts 30
accounts _	accounts of 12
accounts of	accounts of 12
accuracy	accuracy 17
accurate	accurate 32
accurately	accurately 32
accused	accused 12
achieve	achieve 50
achieved	achieved 46
achievement	achievement 19
acid	acid 30
acirc	acirc 13
acquired	acquired 16
across	across 190
across _	across the 94
across the	across the 94
act	act 67
act _	act as 17
act as	act as 17
acting	acting 37
action	action 163
action _	action and 13	action is 12
action and	action and 13
action is	action is 12
actions	actions 44
active	active 31
activities	activities 77
activity	activity 93
actor	actor 73
actors	actors 64
actual	actual 39
actually	actually 131
adapt	adapt 13
adaptations	adaptations 14
adapted	adapted 15
add	add 63
added	added 86
added _	added to 18
added to	added to 18
adding	adding 18
addition	addition 63
addition _	addition to 24
addition _ _	addition to the 12
addition _ the	addition to the 12
addition to	addition to 24
addition to _	addition to the 12
addition to the	addition to the 12
additional	additional 59
address	address 54
addressed	addressed 23
adds	adds 26
adequate	adequate 34
adjacent	adjacent 16
administrative	administrative 18
admiration	admiration 11
admire	admire 12
admired	admired 11
admit	admit 35
admitted	admitted 13
adopt	adopt 14
adopted	adopted 19
adults	adults 16
advance	advance 30
advanced	advanced 21
advantage	advantage 55
advantage _	advantage of 26
advantage of	advantage of 26
advantages	advantages 11
adventure	adventure 11
advertising	advertising 13
advice	advice 154
advice _	advice on 29	advice and 23	advice from 11
advice and	advice and 23
advice from	advice from 11
advice on	advice on 29
advisable	advisable 15
advisable _	advisable to 13
advisable to	advisable to 13
advise	advise 41
advise _	advise you 16
advise you	advise you 16
advised	advised 15
aerobic	aerobic 12
aesthetic	aesthetic 16
affair	affair 32
affairs	affairs 19
affect	affect 45
affect _	affect the 14
affect the	affect the 14
affected	affected 45
affected _	affected by 27
affected by	affected by 27
affecting	affecting 11
affects	affects 17
afford	afford 33
afford _	afford to 14
afford to	afford to 14
afraid	afraid 35
after	after 545
after I	after I 11
after _	after the 80	after a 48	after all 47	after that 16	after an 12	after I 11	after you 11
after a	after a 48
after all	after all 47
after an	after an 12
after that	after that 16
after the	after the 80
after you	after you 11
afternoon	afternoon 70
afterwards	afterwards 25
again	again 496
again _	again and 46	again in 20	again to 15	again the 13
again and	again and 46
again in	again in 20
again the	again the 13
again to	again to 15
against	against 375
against _	against the 155	against a 15	against her 11
against a	against a 15
against her	against her 11
against the	against the 155
age	age 132
age _	age of 38	age and 13
age and	age and 13
age of	age of 38
aged	aged 34
aged _	aged and 12
aged and	aged and 12
agencies	agencies 24
agency	agency 17
agent	agent 27
agents	agents 22
ages	ages 23
ago	ago 108
agony	agony 14
agrave	agrave 27
agree	agree 35
agreed	agreed 48
agreed _	agreed to 13
agreed to	agreed to 13
agreement	agreement 34
ahead	ahead 72
ahead _	ahead of 15
ahead of	ahead of 15
aid	aid 25
aids	aids 13
aim	aim 59
aim _	aim of 16	aim is 13	aim to 11
aim is	aim is 13
aim of	aim of 16
aim to	aim to 11
aimed	aimed 13
aimed _	aimed at 11
aimed at	aimed at 11
aiming	aiming 12
aims	aims 37
aims _	aims to 14
aims to	aims to 14
air	air 143
air _	air and 15
air and	air and 15
airbrake	airbrake 34
airbrakes	airbrakes 52
aircraft	aircraft 58
airfield	airfield 14
alarm	alarm 28
alarms	alarms 12
albeit	albeit 12
alcohol	alcohol 69
alcohol _	alcohol and 11
alcohol and	alcohol and 11
ale	ale 50
alert	alert 18
ales	ales 14
alive	alive 29
all	all 2130
all I	all I 18
all _	all the 354	all of 58	all right 55	all this 51	all that 41	all over 32	all in 27	all those 26	all his 25	all but 23	all to 23	all these 22	all your 20	all its 19	all I 18	all you 18	all and 16	all her 16	all about 15	all too 15	all be 14	all other 14	all a 13	all at 13	all kinds 13	all my 12	all times 12	all it 11	all there 11
all _ _	all the time 38	all the way 21	all over the 17	all of the 14	all of them 13
all _ the	all over the 17	all of the 14
all _ them	all of them 13
all _ time	all the time 38
all _ way	all the way 21
all a	all a 13
all about	all about 15
all and	all and 16
all at	all at 13
all be	all be 14
all but	all but 23
all her	all her 16
all his	all his 25
all in	all in 27
all it	all it 11
all its	all its 19
all kinds	all kinds 13
all my	all my 12
all of	all of 58
all of _	all of the 14	all of them 13
all of the	all of the 14
all of them	all of them 13
all other	all other 14
all over	all over 32
all over _	all over the 17
all over the	all over the 17
all right	all right 55
all that	all that 41
all the	all the 354
all the _	all the time 38	all the way 21
all the time	all the time 38
all the way	all the way 21
all there	all there 11
all these	all these 22
all this	all this 51
all those	all those 26
all times	all times 12
all to	all to 23
all too	all too 15
all you	all you 18
all your	all your 20
alliance	alliance 24
alliances	alliances 11
allow	allow 89
allow _	allow the 14
allow the	allow the 14
allowance	allowance 11
allowed	allowed 77
allowed _	allowed to 35
allowed to	allowed to 35
allowing	allowing 34
allows	allows 30
almost	almost 204
almost _	almost as 12
almost as	almost as 12
alone	alone 79
along	along 114
along _	along with 35	along the 30
along the	along the 30
along with	along with 35
alongside	alongside 12
aloud	aloud 15
already	already 248
already _	already been 15
already been	already been 15
also	also 1026
also _	also be 86	also a 56	also the 37	also to 24	also been 21	also have 18	also in 16	also an 12	also had 11	also need 11
also a	also a 56
also an	also an 12
also be	also be 86
also been	also been 21
also had	also had 11
also have	also have 18
also in	also in 16
also need	also need 11
also the	also the 37
also to	also to 24
alter	alter 11
alternative	alternative 45
although	although 134
although _	although the 18
although the	although the 18
altogether	altogether 30
always	always 527
always _	always be 42	always been 27	always a 17	always the 17	always to 15	always had 11
always a	always a 17
always be	always be 42
always been	always been 27
always had	always had 11
always the	always the 17
always to	always to 15
am	am 284
am I	am I 30
am _	am I 30	am not 17
am not	am not 17
ambiguity	ambiguity 12
ambition	ambition 12
amendment	amendment 12
among	among 143
among _	among the 58	among them 13
among the	among the 58
among them	among them 13
amongst	amongst 30
amount	amount 123
amount _	amount of 68
amount of	amount of 68
amounts	amounts 31
amounts _	amounts of 12
amounts of	amounts of 12
amp	amp 143
ample	ample 16
an	an 2513
an American	an American 12
an IUD	an IUD 11
an _	an important 42	an hour 35	an old 35	an actor 29	an artist 28	an early 23	an end 23	an excellent 23	an extra 23	an effective 21	an art 19	an article 19	an object 19	an exhibition 15	an individual 15	an accident 14	an eye 14	an interesting 14	an easy 13	an effort 13	an ideal 13	an American 12	an area 12	an audience 12	an audition 12	an awful 12	an image 12	an indication 12	an interview 12	an order 12	an IUD 11	an alternative 11	an attack 11	an attempt 11	an enormous 11	an entirely 11	an equal 11	an interest 11	an international 11	an opportunity 11
